BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6138173,11211.dat,"Brick, Modified 1 x 2 with Studs on 1 Side ",11,0,Black,Solid Colors,3,0.86
11477,6028813,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,2,0.31
11477,6047276,11477.dat,"Slope, Curved 2 x 1 x 2/3 ",11,0,Black,Solid Colors,2,0.31
14719,6065824,14719.dat,Tile 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,2,0.43
15068,6053077,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",11,0,Black,Solid Colors,1,0.57
15068,6102357,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",86,71,Light Bluish Gray,Solid Colors,2,0.57
15068,6071261,15068.dat,"Slope, Curved 2 x 2 x 2/3 ",85,72,Dark Bluish Gray,Solid Colors,2,0.57
15712,6308012,15712.dat,"Tile, Modified 1 x 1 with Open O Clip ",86,71,Light Bluish Gray,Solid Colors,2,0.2
18974,6379102,18974.dat,"Vehicle, Mudguard 4 x 2 1/2 x 2 1/3 with Arch Round ",86,71,Light Bluish Gray,Solid Colors,2,
20482,6186675,20482.dat,"Tile, Round 1 x 1 with Bar and Small Pin Hole ",11,0,Black,Solid Colors,4,0.16
2229,6502463,2229.dat,"Tile, Modified 2 x 2 x 2/3 with Paper / Photo Holder ",11,0,Black,Solid Colors,1,
2420,242026,2420.dat,Plate 2 x 2 Corner,11,0,Black,Solid Colors,4,0.54
2420,4211353,2420.dat,Plate 2 x 2 Corner,86,71,Light Bluish Gray,Solid Colors,6,0.54
24246,6256435,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",11,0,Black,Solid Colors,2,0.1
24246,6362252,24246.dat,"Tile, Round 1 x 1 Half Circle Extended ",85,72,Dark Bluish Gray,Solid Colors,1,
24299,6141554,24299.dat,"Wedge, Plate 2 x 2  Left ",11,0,Black,Solid Colors,1,0.44
24307,6141556,24307.dat,"Wedge, Plate 2 x 2  Right ",11,0,Black,Solid Colors,1,0.44
24309,6132207,24309.dat,"Slope, Curved 3 x 2 ",86,71,Light Bluish Gray,Solid Colors,1,1.21
2431,243126,2431.dat,Tile 1 x 4,11,0,Black,Solid Colors,1,0.54
2431,4211356,2431.dat,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,2,0.54
2445,244526,2445.dat,Plate 2 x 12,11,0,Black,Solid Colors,1,3.5
25269,6172383,25269.dat,"Tile, Round 1 x 1 Quarter ",11,0,Black,Solid Colors,2,0.1
25269,6176433,25269.dat,"Tile, Round 1 x 1 Quarter ",86,71,Light Bluish Gray,Solid Colors,2,0.1
26047,6225246,26047.dat,"Plate, Round 1 x 1 with Bar Handle ",86,71,Light Bluish Gray,Solid Colors,2,0.3
26603,6187008,26603.dat,Tile 2 x 3,85,72,Dark Bluish Gray,Solid Colors,2,0.68
27263,6177078,27263.dat,"Tile, Modified Facet 2 x 2 ",86,71,Light Bluish Gray,Solid Colors,2,0.33
27263,6166859,27263.dat,"Tile, Modified Facet 2 x 2 ",11,0,Black,Solid Colors,2,0.33
28192,6267487,28192.dat,Slope 45 2 x 1 with Cutout without Stud,11,0,Black,Solid Colors,2,
2877,287726,2877.dat,"Brick, Modified 1 x 2 with Grille / Fluted Profile ",11,0,Black,Solid Colors,3,0.68
29119,6225142,29119.dat,Wedge 2 x 1 x 2/3 Right,86,71,Light Bluish Gray,Solid Colors,2,0.23
29120,6225139,29120.dat,Wedge 2 x 1 x 2/3 Left,86,71,Light Bluish Gray,Solid Colors,2,0.23
3001,300126,3001.dat,Brick 2 x 4,11,0,Black,Solid Colors,1,2.32
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,2,1.92
3003,4211387,3003.dat,Brick 2 x 2,86,71,Light Bluish Gray,Solid Colors,2,1.35
3003,300326,3003.dat,Brick 2 x 2,11,0,Black,Solid Colors,1,1.35
3004,300426,3004.dat,Brick 1 x 2,11,0,Black,Solid Colors,1,0.8
3004,4211388,3004.dat,Brick 1 x 2,86,71,Light Bluish Gray,Solid Colors,2,0.8
3005,300526,3005.dat,Brick 1 x 1,11,0,Black,Solid Colors,2,0.44
3005,4211389,3005.dat,Brick 1 x 1,86,71,Light Bluish Gray,Solid Colors,2,0.44
3010,4211394,3010.dat,Brick 1 x 4,86,71,Light Bluish Gray,Solid Colors,1,1.64
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,9,1.2
3021,302126,3021.dat,Plate 2 x 3,11,0,Black,Solid Colors,4,0.93
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,3,0.64
3022,4211397,3022.dat,Plate 2 x 2,86,71,Light Bluish Gray,Solid Colors,4,0.64
3023,4211063,3023b.dat,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,25,0.36
3023,4211398,3023b.dat,Plate 1 x 2,86,71,Light Bluish Gray,Solid Colors,16,0.36
3024,4210719,3024.dat,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,5,0.2
3024,302426,3024.dat,Plate 1 x 1,11,0,Black,Solid Colors,26,0.2
3024,4211399,3024.dat,Plate 1 x 1,86,71,Light Bluish Gray,Solid Colors,10,0.2
892,4540294,30259.dat,Road Sign 2 x 2 Triangle with Clip,1,15,White,Solid Colors,2,0.31
3031,4243819,3031.dat,Plate 4 x 4,11,0,Black,Solid Colors,1,2.22
3032,303226,3032.dat,Plate 4 x 6,11,0,Black,Solid Colors,1,3.3
30663,6057397,30663.dat,"Vehicle, Steering Wheel Small, 2 Studs Diameter ",11,0,Black,Solid Colors,1,0.4
3068,306826,3068b.dat,Tile 2 x 2,11,0,Black,Solid Colors,1,0.48
3068,4211413,3068b.dat,Tile 2 x 2,86,71,Light Bluish Gray,Solid Colors,4,0.48
3069,4211052,3069b.dat,Tile 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.26
3069,306926,3069b.dat,Tile 1 x 2,11,0,Black,Solid Colors,12,0.26
